Sw_ReqId, Source,Version, Function,Verification Method,Verfication File Name,Verification File Version,SIL Test case #,SIL Test Vector #,SIL  Test Status,SIL Comments
.SwReqId,NA,NA,NA,NA, .SILSpecName, .SILSpecVer, .SILTestCase, .SILTestVector, .SILTestStatus, .SILComments
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_1,TV_R_First Test_1 - TV_R_First Test_501,Pass,501 out of 501 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_2,TV_R_Second Test_1 - TV_R_Second Test_501,Pass,146 out of 501 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_3,TV_R_Third Test_1 - TV_R_Third Test_501,Pass,136 out of 501 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_4,TV_R_Fourth Test_1 - TV_R_Fourth Test_501,Pass,148 out of 501 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_5,TV_R_Fifth Test_1 - TV_R_Fifth Test_151,Pass,84 out of 151 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_6,TV_R_Sixth Test_1 - TV_R_Sixth Test_301,Pass,77 out of 301 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_7,TV_R_Seventh Test_1 - TV_R_Seventh Test_501,Pass,251 out of 501 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_8,TV_R_Eighth Test_1 - TV_R_Eighth Test_501,Fail,251 out of 501 Passed
"CF014A_63  CF014A_15  CF014A_61  CF014A_115  CF014A_60  CF014A_56  CF014A_12  CF014A_57  CF014A_58  CF014A_13  CF014A_16  CF014A_64  CF014A_62  CF014A_11  CF014A_59
CF014A_72  CF014A_104  CF014A_103  CF014A_101  CF014A_97  CF014A_100  CF014A_96  CF014A_210  CF014A_158  CF014A_133
CF014A_163  CF014A_176  CF014A_177  CF014A_178  CF014A_179   CF014A_140  CF014A_141  CF014A_142  CF014A_143  CF014A_145  CF014A_156   CF014A_160  
CF014A_146  CF014A_191  CF014A_192  CF014A_188  CF014A_195  CF014A_189  CF014A_199  CF014A_183  CF014A_193  CF014A_197  CF014A_194  CF014A_202
CF014A_198  CF014A_130   CF014A_170  CF014A_171  CF014A_172  CF014A_173  CF014A_118  CF014A_121  CF014A_169  CF014A_162  CF014A_164
CF014A_165  CF014A_166  CF014A_167  CF014A_168  CF014A_132  CF014A_150  CF014A_224  CF014A_147  CF014A_152  CF014A_148  CF014A_149  CF014A_175  CF014A_218
CF014A_204  CF014A_222  CF014A_203  CF014A_220  CF014A_201  CF014A_216   CF014A_200    
",PSATA.c,8,PSATAPer1,SIL,PSATA_SIL.pdbx,5,TC_CF14_TEST CASE_9,TV_R_Ninth Test_1 - TV_R_Ninth Test_501,Pass,501 out of 501 Passed
